CEN-01-000624|0016408VK7801N0009QR
CEN-01-000165|2322109VL1022S0001UQ
CEN-01-000170|4044019VK5744S0017WO
CEN-01-000184|0775107YH0307F0002UR
CEN-01-000192|5619201YJ1051H0009IB
CEN-01-000207|5339606XJ6053N0008QH
CEN-01-000215|0577709DG4007N0001TF
CEN-01-000242|137103YJ2313N00015RU
CEN-01-000249|8962207DS5086S0001WF
CEN-01-000257|8699902YH1489H0032PA
CEN-01-000270|1478302YH0317G0015OR
CEN-01-000272|4385121YH0148N0043BD
CEN-01-000277|2091405VK3529S0005ZB
CEN-01-000278|9363501YJ0096C0017HM
CEN-01-000280|9969202VK2596N0005OM
CEN-01-000290|4587301VK1948N0372JI
CEN-01-000294|4046310VK5744N0024HT
CEN-01-000304|1766301VH3116N0008LP
CEN-01-000314|5261401XH7856S0011ZT
CEN-01-000323|7097204VK6379N0001EI
CEN-01-000338|4991429DF3849B0007QZ
CEN-01-000342|4006002XH9240N0013KW
CEN-01-000343|0392804YH2409A0049GA
CEN-01-000353|3115202XH9631N0004YY
CEN-01-000363|7848002UK9674N0018PZ
CEN-01-000413|4632405VK0943S0002ZX
CEN-01-000421|8438503DS5883N0004GZ
CEN-01-000427|4878302YJ4147N0059LK
CEN-01-000426|4179901YJ4147N0011LT
CEN-01-000428|2020201WG6322S0013IM
CEN-01-000439|8797414YJ1489N0001IR
CEN-01-000451|7209122DF2870G0019IF
CEN-01-000454|7675904YH1477F0006MU
CEN-01-000467|0096703YH2409E0101DF
CEN-01-000469|2612101VK6621S0026PO
CEN-01-000476|3873101YJ2637S0015UF
CEN-01-000479|1211918YJ2411S0033WZ
CEN-01-000488|8065007WJ9186E0012BR
CEN-01-000489|8096628DF2789E0087YA
CEN-01-000493|7034714DF1773C0001XB
CEN-01-000496|1318108YJ2511N0001EK
CEN-01-000504|8884902DS5088S0013DA
CEN-01-000506|19522201VK6892S0027A
CEN-01-000512|7476911YH1477E0006AZ
CEN-01-000513|5771330VL1057S0001QY
CEN-01-000516|9336305CF8693N0002AP
CEN-01-000535|2606203XH9620N0006EP
CEN-01-000536|0392806YH2409A0016OP
CEN-01-000540|8619301CF8681N0028KG
CEN-01-000541|0407417DF3800G0028YR
CEN-01-000547|7297003WF1679N0037BB
CEN-01-000555|3463535YJ4136s0004UA
CEN-01-000561|2329501VG5122G0247EJ
CEN-01-000567|1078607YH1717N0007QW
CEN-01-000570|9775707YH1497F0008HJ
CEN-01-000571|3969013YJ2636N0006LY
CEN-01-000573|4363443YJ4146S0014UX
CEN-01-000590|0797204FS1709N0025SP
CEN-01-000600|A445904YJ2894N001I11
CEN-01-000612|0301401WJ2600S0013HH
CEN-01-000613|3055316DF3835E0005TB
CEN-01-000619|4643818WG0144D0001TF
CEN-01-000626|6626212DF1762F0028AQ
CEN-01-000632|7642515BC6874S0001MM
CEN-01-000642|3807807XH9230N0001FS
CEN-01-000644|7094108YJ3379S0001BR
CEN-01-000646|8613915YJ1781S0026JW
CEN-01-000650|1382902WF3618S0063OT
CEN-01-000679|9770711VK2696N0010XU
CEN-01-000684|4878806YJ4147N0116UD
CEN-01-000360|9026010VK3692N0019BY
CEN-01-000468|8269517WF4886N0002IH 
CEN-01-000527|3753907YJ2635S0044TM
CEN-01-000689|000201000DR59E0006PX
CEN-01-000618|4746703WG0144F0001GO
