"Tipo del piso	"	"m2	"	"Dormitorios	"	"Baños	"	"€/m2	"	"Precio	"	"Enlace Web	"
"piso	"	"280	"	"5	"	"6	"	"14642	"	"4.1M	"	"http://rd.nestoria.es/rd?itype=2&l=VZeJYRtbatcRcUNtks&s=&url=2-ePz73aTBU4LVGFByDI464Ner8aIMqOqmnnO6u50s2qDemu-cfN_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRtGghvDYlPNVF5qMefg11bkCYzKZwBlYrKuUnoqgEDyvQAR0gWjNjxd9iD0al148wKJ88nP_rnAk6NvD3WFiDM3WnOdZ3h8OAUhKQWPRrLNDWbGQ-WZ_zvEqc9i13uu3t2Jc1ZGJZPUdP5SttTOgLTeIjJP4ee8rfsoTV5QPPbnqUOaS29_0fHf8ludEVCPFbNUlVJv5Gasu4RtpWXUaynoNU4pRUxiS7rcDJ_GwA4MxpcLkjHaZGNcOwOCoJUjg4ij0f4eV39XhnVmieZYxX6iPVOyVYZfuYF2puFY5Ns0g45kbFU9ql-Y08b2J18yZhoYrn4jA8wB9RfVGK0%3D&v=2	"
"piso	"	"314	"	"6	"	"4	"	"11353	"	"3.6M	"	"http://rd.nestoria.es/rd?itype=2&l=WceWle6on6pepha6x3&s=&url=2-ePz73aTBU4LVGFByDI454Ner8aIMqOqmnnO6u50s2qDemu-cfN_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpPih7DYlPNVF5rMOjg11bkCYzKZwBlYrKuUnoqgEDyvQcV1ACjNjxd9iD0al148wKJ88nP_rnAk6BvD3WFiDM3WnOdZ3h8OQwlKQWPRrLNDWbGQ-WZ_zvEqMhg3nWl3t6JcVRNJJLddP5SttTOgLTeIjJP4ee8rfsoTV5QPPbnqUOaS29_0fHf8ludEVCPFbNUlUNy_mru848u6mbHei_hNk8mCwplSKLMC5HP-mILyZUDkjDcZGBTNA2J6pQ6saS_y_kPUScEjWNhkvtDzTnxPEqAZ45etJ1u9r1e8cw2hYtvcQFuq0aq78T6Ok46aBNL_XU1BNcc7h-WRw%3D%3D&v=2	"
"piso	"	"120	"	"2	"	"3	"	"17500	"	"2.1M	"	"http://rd.nestoria.es/rd?itype=2&l=UYe-NGiQPiRGRJCie&s=&url=2-ePz73aTBU4LVGFByDI494Ner8aIMqOqmnnO6u50s2qDemu-cfN_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpOgBrDYlPNVF5rN-7g11bkCYzKZwBlYrKuUnoqgEDyvQYR0gWjNjxd9iD0al148wKJ88nP_rnAk6RvD3WFiDM3WnOdZ3h8Ow8hKQWPRrLNDWbGQ-WZ_zvEqc9i13uu3t2Jcl5KKZ7WdP5SttTOgLTeIjJP4ee8rfsoTV5QPPbnqUOaS29_0fHf8ludEVCPFbNUlVJv5Gasu4RtpWXUaynoNU4pRUxiS7rcDJ_GwA4MxpcLkjHaZGNcOQCOoJUjg4ij0f4eV39XhnVmieZYxX6iPVOyVYZfuYF2puFY5Ns0g45kbFU9ql-Y08b2J18yZhoYrn4jA8wB9RfVGK0%3D&v=2	"
"piso	"	"110	"	"1	"	"1	"	"16363	"	"1.8M	"	"http://rd.nestoria.es/rd?itype=2&l=WaeUjc4ml4ncnfY4v&s=&url=2-ePz73aTBU4LVGFByDI4-4Ner8aIMqOqmnnO6u50s2qDemu-cfN_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpOixHDYlPNVF5rM-zg11bkCYzKZwBlYrKuUnoqgEDyvQUY0gWjNjxd9iD0al148wKJ88nP_rnAk6dvD3WFiDM3WnOdZ3h8OwwhKQWPRrLNDWbGQ-WZ_zvEq8pn23es3t6DeVNJIZPVdP5SttTOgLTeIjJP4ee8rfsoTV5QPPbnqUOaS29_0fHf8ludEVCPFbNUlUNy_mru848u6mbHei_hNk8mCwplSKLMC5HP-mQIwJEDkjDdZWBQOwyJ6pQ6saS_y_kPUScEjWNhkvtDzTnxPEqAZ45etJ1u9r1e8cw2hYtvcQFuq0aq78T6Ok46aBNL_XU1BNcc7h-WRw%3D%3D&v=2	"
"piso	"	"138	"	"2	"	"2	"	"13043	"	"1.8M	"	"http://rd.nestoria.es/rd?itype=2&l=UWe8LEgONgPEPHAgXe&s=&url=2-ePz73aTBU4LVGFByDI494Ner8aIMqOqmnnO6u50s2qDemu-cfN_G5rapMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRpPixvDYlPNVF5qN-rg11bkCYzKZwBlYrKuUnoqgEDyvQUY0gWjNjxd9iD0al148wKJ88nP_rnAk6RvD3WFiDM3WnOdZ3h8Ow4pKQWPRrLNDWbGQ-WZ_zvEq8pn23es3t2JcVNPJJ_UdP5SttTOgLTeIjJP4ee8rfsoTV5QPPbnqUOaS29_0fHf8ludEVCPFbNUlUNy_mru848u6mbHei_hNk8mCwplSKLMC5HP-mQIwJEDkjDdYGNROA2J6pQ6saS_y_kPUScEjWNhkvtDzTnxPEqAZ45etJ1u9r1e8cw2hYtvcQFuq0aq78T6Ok46aBNL_XU1BNcc7h-WRw%3D%3D&v=2	"
"piso	"	"260	"	"6	"	"3	"	"5769	"	"1.5M	"	"http://rd.nestoria.es/rd?itype=2&l=XVeZoh9rq9shskd916&s=&url=2-ePz73aTBU4LVGFByDI454Ner8aIMqOqmnnO6u50s2qDemu-cfN_G5rGpMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRtHihvDYlPNVF5rN-_g11bkCYzKZwBlYrKuUnoqgEDyvQUV0gWjNjxd9iD0al148wKJ88nP_rnAk6BvD3WFiDM3WnOdZ3h8OAshKQWPRrLNDWbGQ-Wa9DvEqclj2nGr3t2BdlNPKZXVdP5SttTOgLTeIjJP4ee8rfsoTV5INOfhrgyaSGsxnP3d7wafDFXQF7tV1x537Fqn5IR36VjRfBXoMFkmSRNnQPqdWs6blGQIxpVskzTfamFUIwvD640InbilzOgJCXQPm2R6j-BLimrwJXiyb49TqIU-qrtL5s4wgIByJVJvsnSW7cjnK0Y0YUAeoSRrBt0A8x-ST6SBDT7ZCMlbX5oienukJ0o79YryoVvKTN3ArBOg-xY%3D&v=2	"
"piso	"	"123	"	"2	"	"2	"	"11951	"	"1.5M	"	"http://rd.nestoria.es/rd?itype=2&l=XVeZoh9rq9shskd96&s=&url=2-ePz73aTBU4LVGFByDI494Ner8aIMqOqmnnO6u50s2qDemu-cfN_G5rKpMAbDMkMIxp0Zsli8WefUu6sPU8-oGyp-pRtHgB3DYlPNVF5kM-_g11bkCYzKZwBlYrKuUnoqgEDyvQUU1QWjNjxd9iD0al148wKJ88nP_rnAk6RvD3WFiDM3WnOdZ3h8Ow8iKQWPRrLNDWbGQ-WZ9jvEqc5h2XOk3t2IcFFHJpXSdP5SttTOgLTeIjJP4ee8rfsoTV5INOfhrgyaSGsxnP3d7wafDBKeE7tF1x537Fqn5IR36VjRfBXoMFkmSRNnQOeRWcyaiGQOwZMHlDnSYGRXUwWGrtdn3vjvy_8Ba2kFnWJ2mLREyWzwJ1W2a81PqYVcprld6tw82Y5ncUJ8vk-a_oPiPkIMbBwb43EvF9ZT9xfHVaPBJDjYEtwYRJpyS3e5JF8yto69vk_KUt3ar1Cx&v=2	"
"piso	"	"220	"	"4	"	"3	"	"5909	"	"1.3M	"	"http://rd.nestoria.es/rd?itype=2&l=XVeZoh9rq9shskd97&s=&url=2-ePz73aTBU4LVGFByDI474Ner8aIMqOqmnnO6u50s2qDdmu-cfN_G5rapMAbDMkMIxp0Zsli8WOfUu6sPU8-oGyp-pRpPih7DYlPNVF5rMOjg11bkCYzKZwBlYrKwRWQWhxeh81AC2AS_JHwD-W_UHTV47hPLrJaSvbecndMUbWeLhmMrXGSLZ3h8PhMhdBWBGe2GBGDGQ-Wa9SaYr9gow2DvkMqLYldGPJbQY-ZJ8Z6PlLbNeHUKpeqxrq4qSBwaZ7bmqVaJHSkxiOXHsRyfHFSLBrFK0VI17mquuYJs5XfHeDigPVQ3SAZzCLLHRJ_L1zJbncxdwy6CPDwRaVba-r9m2OPnjrtdAyxb3CAiwvxewUD3J1KtaY4Hs41wv7NL6sh3kZttXEp-u0KA4Zj2LV02aBwS_GJgBcwD2B3VV6CNOzrYW9NbQppwZn23aFY%3D&v=2	"
"Piso	"	"201	"	"5	"	"2	"	"5472	"	"1.1M	"	"http://www.idealista.com/30306843	"
"Piso	"	"80	"	"1	"	"1	"	"13125	"	"1.1M	"	"http://www.idealista.com/30215349	"
